NO,Reference,Author/s,Year of Publication,Platform,Driving Mode,Cabin Structure & Visibility,Motion DOF,Display Technology,Participant Seating Position,Driver Presence & Visibility,Scenario,Controlled Sensory Focus,Comfort Factor,Comfort Factor - User,Comfort Factor - Vehicle,Measurement Domain,Focus Condition
28,https://doi.org/10.3390/s22228616,Jakus et. al,2022,Simulator,Fully Automated,No Cabin,3,HMD-VR,Front Passenger Seat,No Driver,Ride-along,Visual,User,Disposition to Nausea,None,Physiological,Motion Sickness
29,10.1109/TVT.2019.2933601,Morra et. al,2019,Simulator,Fully Automated,Virtual-visible cabin,2,HMD-VR,Front Passenger Seat,No Driver,Vigilance,Visual,User + Vehicle,Situation Awareness,Features Supporting Situation Awareness,Subjective + Physiological,Affectivity
30,https://doi.org/10.1109/ISMAR59233.2023.00029,Akiyoshi et. al,2023,Real-world Driving,Fully Automated,Real non-visible cabin,6,HMD-VR,Rear Passenger Seat,No Driver,NDRT,Visual,User + Vehicle,Task Desirability,Features Supporting Secondary Activities,Subjective,Affectivity + Anxiety + Motion Sickness
31,https://dl.acm.org/doi/10.1145/3025453.3026046,McGill et. al,2017,Real-world Driving,Wizard-of-Oz,Real non-visible cabin,6,HMD-VR,Front Passenger Seat,Driver Present-Concealed,Ride-along,Visual,User,Disposition to Nausea,None,Subjective,Motion Sickness
32,https://doi.org/10.1016/j.trf.2018.02.036,Bellem et. al,2018,Simulator,Fully Automated,Real-visible cabin,6,Projection,Driver's Seat,No Driver,Ride-along,Visual,User + Vehicle,Automated Driving Style Preferences,Driving Style,Subjective,Motion Sickness
33,https://doi.org/10.4271/2023-01-0788,Su et. al,2023,Simulator,Fully Automated,Virtual-visible cabin,0,2D Display,Driver's Seat,No Driver,Ride-along,Visual,User + Vehicle,Automated Driving Style Preferences,Driving Style,Subjective,Discomfort
34,https://doi.org/10.1145/3613905.3650746,Gim et. al,2024,Real-world Driving,Wizard-of-Oz,Virtual-visible cabin,6,HMD-VR,Front Passenger Seat,Driver Present-Concealed,NDRT,Visual,User,"Visual Focus +
Disposition to Nausea",None,Subjective,Motion Sickness
35,https://doi.org/10.15187/adr.2019.08.32.3.5,Kim et. al,2019,Real-world Driving,Wizard-of-Oz,Real-visible cabin,6,2D Display,Front Passenger Seat,Driver Present-Concealed,NDRT,Visual,User,Situational Awareness,None,Subjective,Decision Making
36,https://doi.org/10.36463/idw.2022.1004,Charissis,2022,Simulator,Supervised Automation,Real-visible cabin,0,Projection,Driver's Seat,Participant Driving,Ride-along,Visual,User + Vehicle,Situational Awareness,Features Supporting Situation Awareness,Subjective,Anxiety
37,https://doi.org/10.3390/app13084952,Kim et. al,2023,Simulator,Fully Automated,Virtual-visible cabin,3,HMD-VR,Front Passenger Seat,No Driver,Ride-along,Visual,User + Vehicle,Situational Awareness,Features Supporting Situation Awareness,Subjective + Physiological,Affectivity
38,https://dl.acm.org/doi/10.1145/3342197.3344545,Large et. al,2019,Real-world Driving,Fully Automated,Real-visible cabin,6,2D Display,Rear Passenger Seat,No Driver,NDRT,Auditory,User + Vehicle,Task Desirability,Unclear Actions,Subjective,Affectivity
39,https://doi.org/10.1016/j.apergo.2020.103282,Winkel et. al,2021,Simulator,Fully Automated,Virtual-visible cabin,1,Projection,Front Passenger Seat,No Driver,Ride-along,Visual,User + Vehicle,"Visual Focus +
Disposition to Nausea",Nausea Reducing Features,Subjective + Behavioural,Affectivity + Motion Sickness
40,https://discovery.ucl.ac.uk/id/eprint/10212163/,Monsuur et. al,2024,Simulator,Fully Automated,Virtual-visible cabin,0,HMD-VR,Front Passenger Seat,No Driver,Ride-along,Visual,User,"Perceived safety +
Trust",None,Subjective + Physiological,Affectivity + Anxiety
41,https://dl.acm.org/doi/10.1145/3409120.3410639,Alpers et. al,2020,Real-world Driving,Wizard-of-Oz,Real-visible cabin,6,2D Display,Rear Passenger Seat,Driver Present-Concealed,Ride-along,Haptic + Auditory,User,"Perceived safety +
Trust",None,Subjective + Physiological,Communication + Anxiety
